Trace
Swept SA
A.14.12,N9010A
4712300000,-63.7138938903809
4716000000,-64.4636154174805
4719700000,-65.0193939208984
4723400000,-64.0602951049805
4727100000,-64.5866775512695
4730800000,-64.9298934936523
4734500000,-64.497917175293
4738200000,-64.5244598388672
4741900000,-64.4120101928711
4745600000,-64.2452621459961
4749300000,-63.599422454834
4753000000,-64.3894729614258
4756700000,-64.4027862548828
4760400000,-64.3014526367188
4764100000,-63.4975128173828
4767800000,-63.6732444763184
4771500000,-63.4278564453125
4775200000,-63.4186668395996
4778900000,-64.1363220214844
4782600000,-64.9031295776367
4786300000,-64.2345199584961
4790000000,-64.0570220947266
4793700000,-64.327018737793
4797400000,-64.064094543457
4801100000,-63.7496604919434
4804800000,-63.8345184326172
4808500000,-63.2350654602051
4812200000,-63.9424133300781
4815900000,-64.1404495239258
4819600000,-63.870418548584
4823300000,-64.5901794433594
4827000000,-63.8041343688965
4830700000,-64.190315246582
4834400000,-62.8252258300781
4838100000,-63.2693824768066
4841800000,-63.5806007385254
4845500000,-64.5709838867188
4849200000,-63.5048484802246
4852900000,-64.5091094970703
4856600000,-63.9980163574219
4860300000,-64.4143295288086
4864000000,-63.9060935974121
4867700000,-63.7859039306641
4871400000,-64.0757293701172
4875100000,-64.5782470703125
4878800000,-64.6489639282227
4882500000,-63.0727729797363
4886200000,-63.9321594238281
4889900000,-63.0520324707031
4893600000,-64.5758056640625
4897300000,-63.773494720459
4901000000,-62.9939727783203
4904700000,-64.0870666503906
4908400000,-63.6984481811523
4912100000,-64.9054641723633
4915800000,-62.9500389099121
4919500000,-64.4900588989258
4923200000,-63.7590446472168
4926900000,-64.0965423583984
4930600000,-63.2405853271484
4934300000,-62.8513145446777
4938000000,-63.0067138671875
4941700000,-64.3496932983398
4945400000,-63.9456367492676
4949100000,-64.3413619995117
4952800000,-64.0542449951172
4956500000,-63.9949607849121
4960200000,-63.5777626037598
4963900000,-63.9284896850586
4967600000,-62.6823654174805
4971300000,-63.5791473388672
4975000000,-62.2109413146973
4978700000,-63.628963470459
4982400000,-62.6333694458008
4986100000,-63.3442153930664
4989800000,-62.7249946594238
4993500000,-63.2022132873535
4997200000,-64.1255416870117
5000900000,-63.6811485290527
5004600000,-63.7901611328125
5008300000,-63.4795303344727
5012000000,-63.2401847839355
5015700000,-63.0530204772949
5019400000,-63.254638671875
5023100000,-63.0814399719238
5026800000,-63.7496566772461
5030500000,-63.6007118225098
5034200000,-63.5068855285645
5037900000,-63.7592964172363
5041600000,-63.458869934082
5045300000,-63.6906204223633
5049000000,-62.431266784668
5052700000,-63.5611114501953
5056400000,-63.1343574523926
5060100000,-63.9988899230957
5063800000,-63.5433883666992
5067500000,-63.681884765625
5071200000,-63.2785682678223
5074900000,-63.4574012756348
5078600000,-63.4533233642578
5082300000,-63.2690963745117
5086000000,-63.6830291748047
5089700000,-61.8166198730469
5093400000,-63.3013534545898
5097100000,-63.2539100646973
5100800000,-62.5838928222656
5104500000,-62.1541175842285
5108200000,-62.5144309997559
5111900000,-62.4645805358887
5115600000,-62.484546661377
5119300000,-63.2195243835449
5123000000,-62.769214630127
5126700000,-63.3167839050293
5130400000,-61.3267860412598
5134100000,-62.441722869873
5137800000,-62.3309555053711
5141500000,-63.1887512207031
5145200000,-58.812328338623
5148900000,-30.6084442138672
5152600000,-34.0311660766602
5156300000,-63.48828125
5160000000,-63.305492401123
5163700000,-63.3488922119141
5167400000,-62.334888458252
5171100000,-63.0412864685059
5174800000,-62.750373840332
5178500000,-62.2984275817871
5182200000,-61.9929046630859
5185900000,-62.841796875
5189600000,-63.3410263061523
5193300000,-63.3753318786621
5197000000,-63.5993957519531
5200700000,-30.5711727142334
5204400000,-39.4491119384766
5208100000,-63.0765800476074
5211800000,-61.6874580383301
5215500000,-60.6488189697266
5219200000,-62.9550399780273
5222900000,-62.5573501586914
5226600000,-62.9754371643066
5230300000,-62.9510917663574
5234000000,-62.052173614502
5237700000,-62.4253463745117
5241400000,-62.6045799255371
5245100000,-62.7442092895508
5248800000,-55.0647659301758
5252500000,-30.5985546112061
5256200000,-35.3843688964844
5259900000,-62.0418968200684
5263600000,-61.9815406799316
5267300000,-62.6450958251953
5271000000,-62.7237281799316
5274700000,-61.517520904541
5278400000,-61.4963569641113
5282100000,-62.5573539733887
5285800000,-62.4696388244629
5289500000,-62.5516967773438
5293200000,-61.6402053833008
5296900000,-62.2079734802246
5300600000,-62.5641632080078
5304300000,-30.7455654144287
5308000000,-30.606409072876
5311700000,-54.4902038574219
5315400000,-61.8018341064453
5319100000,-62.0668067932129
5322800000,-62.6817779541016
5326500000,-61.8002510070801
5330200000,-62.0439949035645
5333900000,-60.7995758056641
5337600000,-62.5727233886719
5341300000,-61.220100402832
5345000000,-62.104793548584
5348700000,-62.2647552490234
5352400000,-61.7631874084473
5356100000,-51.8604011535645
5359800000,-30.4448299407959
5363500000,-56.9009017944336
